Species,Class,therm,common_name,rec,neo,mal,log_bm,log_pl,log_rec,Subclade
Dendropsophus_ebraccatus,Amphibia,ectothermic,Hourglass treefrog,22,1,0,3.60413822469127,5.03570472270499,3.09104245335832,Hylidae
Didelphis_marsupialis,Mammalia,endothermic,Opossum,96,34,27,6.99503328636986,5.76739641534378,4.56434819146784,Didelphimorphia
Dyscophus_antongilii,Amphibia,ectothermic,Tamato frog,54,4,2,4.70048036542809,5.51440020477003,3.98898404656427,Microhylidae
Egretta_garzetta,Aves,endothermic,Little egret,28,0,0,5.74300318776702,5.25521264701583,3.3322045101752,Pelecaniformes
Eidolon_helvum,Mammalia,endothermic,Straw-colored fruit bat,31,1,1,5.53457455748991,6.35719611282054,3.43398720448515,Chiroptera
Elephas_maximus,Mammalia,endothermic,Asian elephant,22,9,1,14.9660825864418,6.94068392161034,3.09104245335832,Proboscidea
Elgaria_kingii,Reptilia,ectothermic,Elgaria kingii,22,1,1,4.94164242335019,4.80680038155003,3.09104245335832,Anguidae
Eos_bornea,Aves,endothermic,Red lory,60,1,0,5.04985600643336,5.23651267532657,4.0943445622221,Psittaciformes
Equus_grevyi,Mammalia,endothermic,Grevys zebra,21,3,2,12.9190219627287,6.48168319054316,3.04452243772342,Perissodactyla
Erpeton_tentaculatum,Reptilia,ectothermic,Tentacled snake,56,0,0,6.64639051445057,5.08779688267942,4.02535169073515,Homalopsidae
Eublepharis_macularius,Reptilia,ectothermic,Leopard gecko,38,7,6,5.13579843617925,5.02763696252387,3.63758615972639,Eublepharidae
Eudocimus_ruber,Aves,endothermic,Scarlet ibis,105,3,0,6.49236103954948,5.17973740329519,4.65396035015752,Pelecaniformes
Eudorcas_thomsonii,Mammalia,endothermic,Thompsons gazelle,29,6,4,9.92817040894508,6.23341305407222,3.36729582998647,Cetartiodactyla
Eudromia_elegans,Aves,endothermic,Elegant crested tinamou,22,0,0,6.5552146334528,4.53737024787667,3.09104245335832,Tinamiformes
Eudyptes_chrysocome,Aves,endothermic,Rockhopper penguin,29,2,2,7.75270037336109,5.29117526191487,3.36729582998647,Sphenisciformes
Euplectes_nigroventris,Aves,endothermic,Zanzibar bishop,31,1,0,2.5257286442897,5.43270840394572,3.43398720448515,Passeroidea
Eurypyga_helias,Aves,endothermic,Sun bittern,21,0,0,5.34710753133014,4.53737024782851,3.04452243772342,Eurypygiformes
Fringilla_coelebs,Aves,endothermic,Chaffinch,45,0,0,3.1701056595665,5.29363083314029,3.80666248977032,Passeroidea
Furcifer_pardalis,Reptilia,ectothermic,Reunion chameleon,41,4,4,5.52146091861741,4.88286469399802,3.71357206670431,Chamaeleonidae
Gallicolumba_luzonica,Aves,endothermic,Bleeding heart dove,20,0,0,5.2781146584097,4.53737024798796,2.99573227355399,Columbiformes
Gallus_gallus,Aves,endothermic,Domestic chicken,272,70,62,6.62236391398752,4.58214738097637,5.605802066296,Galliformes
Gazella_spekei,Mammalia,endothermic,Speke's gazelle,22,2,1,9.90348755330984,6.23291854270567,3.09104245335832,Cetartiodactyla
Geotrypetes_seraphini,Amphibia,ectothermic,Gaboon caecilian,23,1,0,5.99146454635282,5.76093612761741,3.13549421592915,Dermophiidae
Giraffa_camelopardalis,Mammalia,endothermic,Baringo giraffe,30,3,2,13.7101442641089,6.42186445561912,3.40119738166216,Cetartiodactyla
